model,train_time_s,predict_time_s,peak_memory_kb,mae,mse,rmse,r2
Linear Regression,0.0095,0.00037,76.7,42.7941,2900.1936,53.8534,0.4526
Ridge,0.0079,0.000264,61.6,46.1389,3077.4159,55.4745,0.4192
Lasso,0.0076,0.000276,62.7,42.8544,2798.1935,52.898,0.4719
ElasticNet,0.005,0.000245,61.5,63.7059,5311.2128,72.8781,-0.0025
Decision Tree,0.0185,0.000427,35.2,54.5281,4976.7978,70.5464,0.0607
Random Forest,2.9094,0.019746,101.0,44.053,2952.0106,54.3324,0.4428
Gradient Boosting,0.87,0.00112,94.9,44.6033,2898.4367,53.8371,0.4529
K-Nearest Neighbours,0.008,0.00277,38.2,42.7708,3019.0755,54.9461,0.4302
Support Vector Machine,0.0188,0.016146,58.6,56.0237,4333.286,65.8277,0.1821
