pos,player,team,runs,mat,inns,no,hs,avg,bf,sr,100,50,4s,6s
157,AM Ghazanfar,MI,2,11,1,1,2*,,3,66.66,0,0,0,0
158,Vyshak Vijaykumar,PBKS,2,10,2,2,1*,,4,50.00,0,0,0,0
159,Brijesh Sharma,RR,2,13,2,2,1*,,4,50.00,0,0,0,0
160,Danish Malewar,MI,2,2,2,0,2,1.00,5,40.00,0,0,0,0
161,Digvesh Singh,LSG,2,10,2,2,2*,,5,40.00,0,0,0,0
162,Arshdeep Singh,PBKS,1,14,1,1,1*,,1,100.00,0,0,0,0
163,T Natarajan,DC,1,10,1,1,1*,,2,50.00,0,0,0,0
164,Vaibhav Arora,KKR,1,11,2,2,1*,,3,33.33,0,0,0,0
165,Sushant Mishra,RR,1,2,1,1,1*,,3,33.33,0,0,0,0
166,Ashok Sharma,GT,1,6,2,2,1*,,4,25.00,0,0,0,0
167,Ashwani Kumar,MI,1,3,1,1,1*,,6,16.66,0,0,0,0
