model,train_time_s,predict_time_s,peak_memory_kb,mae,mse,rmse,r2
Linear Regression,0.0051,0.000169,76.9,42.7941,2900.1936,53.8534,0.4526
Ridge,0.0039,0.000135,61.5,46.1389,3077.4159,55.4745,0.4192
Lasso,0.0034,0.000162,62.9,42.8544,2798.1935,52.898,0.4719
ElasticNet,0.0025,0.000133,61.7,63.7059,5311.2128,72.8781,-0.0025
Decision Tree,0.0102,0.000192,33.5,54.5281,4976.7978,70.5464,0.0607
Random Forest,1.1125,0.009811,102.4,44.053,2952.0106,54.3324,0.4428
Gradient Boosting,0.2753,0.000649,96.4,44.6033,2898.4367,53.8371,0.4529
K-Nearest Neighbours,0.0023,0.001181,16.3,42.7708,3019.0755,54.9461,0.4302
Support Vector Machine,0.0076,0.001612,43.6,56.0237,4333.286,65.8277,0.1821
